dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-09-13T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1972pmdtzM@competitie.vttl.be","","","POVLH01/012\nHNO Assenede A / Olsene A","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Olsene A",""
"2024-09-21T19:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1973eBFKtt@competitie.vttl.be","","","POVLH02/012\nSt. Pauwels B / HNO Assenede A","","Turnzaal De Zandloper, Zandstraat 16, 9170 Sint-Pauwels","","","St. Pauwels B / HNO Assenede A",""
"2024-09-27T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1973wu0Zsg@competitie.vttl.be","","","POVLH03/011\nHNO Assenede A / Kruibeke B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Kruibeke B",""
"2024-10-04T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1974Kopskm@competitie.vttl.be","","","POVLH04/011\nHNO Assenede A / Zele B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Zele B",""
"2024-10-18T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1975asGMZZ@competitie.vttl.be","","","POVLH05/011\nGalmaarden B / HNO Assenede A","","T.R.B.Zaal, Marktplein 19, 1570 Galmaarden","","","Galmaarden B / HNO Assenede A",""
"2024-10-25T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1975mJxXjo@competitie.vttl.be","","","POVLH06/012\nHNO Assenede A / Sleidinge A","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Sleidinge A",""
"2024-11-08T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1976okG1Pc@competitie.vttl.be","","","POVLH07/012\nRooigem-Gent F / HNO Assenede A","","TTC Rooigem Gent vzw, Rooigemlaan 180, 9000 Gent","","","Rooigem-Gent F / HNO Assenede A",""
"2024-11-15T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1976DTcm1V@competitie.vttl.be","","","POVLH08/010\nHNO Assenede A / Sterke Stut A","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Sterke Stut A",""
"2024-11-22T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1977dK1nFR@competitie.vttl.be","","","POVLH09/009\nRonse A / HNO Assenede A","","Sporthal 't Rosco, Leuzesesteenweg 241, 9600 Ronse","","","Ronse A / HNO Assenede A",""
"2024-11-29T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1977c9Vb8m@competitie.vttl.be","","","POVLH10/007\nHNO Assenede A / Nova B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Nova B",""
"2024-12-06T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1978CAmmv8@competitie.vttl.be","","","POVLH11/008\nMerelbeke F / HNO Assenede A","","TTC Merelbeke, Plataan 2, 9820 Merelbeke","","","Merelbeke F / HNO Assenede A",""
"2025-01-10T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1978KfMnuA@competitie.vttl.be","","","POVLH12/012\nOlsene A / HNO Assenede A","","Ontmoetingscentrum (Zaal Begonia), Kerkstraat 36, 9870 Zulte (Olsene)","","","Olsene A / HNO Assenede A",""
"2025-01-17T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1979CWxxIJ@competitie.vttl.be","","","POVLH13/012\nHNO Assenede A / St. Pauwels B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / St. Pauwels B",""
"2025-01-24T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1980pzipr2@competitie.vttl.be","","","POVLH14/011\nKruibeke B / HNO Assenede A","","O.L.V-School, Langestraat 14, 9150 Kruibeke","","","Kruibeke B / HNO Assenede A",""
"2025-02-08T19:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1980Uvsoc0@competitie.vttl.be","","","POVLH15/011\nZele B / HNO Assenede A","","Sporthal De Zeven, Koevliet 1, 9240 Zele","","","Zele B / HNO Assenede A",""
"2025-02-14T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-19811VvA0R@competitie.vttl.be","","","POVLH16/011\nHNO Assenede A / Galmaarden B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Galmaarden B",""
"2025-02-21T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-19819NtLC7@competitie.vttl.be","","","POVLH17/012\nSleidinge A / HNO Assenede A","","GBS Wippelgem, Droogte 208, 9940 Evergem (Wippelgem)","","","Sleidinge A / HNO Assenede A",""
"2025-03-07T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1982ju1S4e@competitie.vttl.be","","","POVLH18/012\nHNO Assenede A / Rooigem-Gent F","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Rooigem-Gent F",""
"2025-03-14T19:30:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1982WOVIcU@competitie.vttl.be","","","POVLH19/010\nSterke Stut A / HNO Assenede A","","Sporthal De Kluize, Sportstraat 5, 9860 Scheldewindeke","","","Sterke Stut A / HNO Assenede A",""
"2025-03-28T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1983s4O2Ni@competitie.vttl.be","","","POVLH20/009\nHNO Assenede A / Ronse A","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Ronse A",""
"2025-04-04T20:00:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1983L4zPpJ@competitie.vttl.be","","","POVLH21/007\nNova B / HNO Assenede A","","Sporthal ' De Capelderij ', Vekenstraat 1-3, 9255 Buggenhout-Opdorp","","","Nova B / HNO Assenede A",""
"2025-04-11T20:15:00","","2025-01-07T14:23:24Z","","20250107T152324CET-1984vX6hgI@competitie.vttl.be","","","POVLH22/008\nHNO Assenede A / Merelbeke F","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede A / Merelbeke F",""
