dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-09-13T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0987ECwgGJ@competitie.vttl.be","","","POVLH01/054\nHNO Assenede B / Sint-Niklase F","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Sint-Niklase F",""
"2024-09-20T19:30:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0988MUzgDk@competitie.vttl.be","","","POVLH02/054\nD'leeuw 2001 B / HNO Assenede B","","Sportzaal A. Ottoy, Walleken 12, 9470 Denderleeuw","","","D'leeuw 2001 B / HNO Assenede B",""
"2024-09-27T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-09887vKWsu@competitie.vttl.be","","","POVLH03/053\nHNO Assenede B / QLT Gent D","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / QLT Gent D",""
"2024-10-04T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0989kWoJve@competitie.vttl.be","","","POVLH04/053\nHNO Assenede B / Kruibeke E","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Kruibeke E",""
"2024-10-19T19:30:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0989HaWFA7@competitie.vttl.be","","","POVLH05/053\nMeteor B / HNO Assenede B","","'t Sportkot, Sompelplein 39, 9700 Oudenaarde","","","Meteor B / HNO Assenede B",""
"2024-10-25T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0990w8XMLO@competitie.vttl.be","","","POVLH06/054\nHNO Assenede B / Maldegem C","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Maldegem C",""
"2024-11-08T20:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0990dHOsUU@competitie.vttl.be","","","POVLH07/054\nDe Pinte B / HNO Assenede B","","Ontmoetingscentrum Polderbos, Polderbos 20, 9840 De Pinte","","","De Pinte B / HNO Assenede B",""
"2024-11-15T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0991oHmUx4@competitie.vttl.be","","","POVLH08/052\nHNO Assenede B / KTTC Eikenlo C","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / KTTC Eikenlo C",""
"2024-11-22T20:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0992F4splH@competitie.vttl.be","","","POVLH09/051\nRooigem-Gent I / HNO Assenede B","","TTC Rooigem Gent vzw, Rooigemlaan 180, 9000 Gent","","","Rooigem-Gent I / HNO Assenede B",""
"2024-11-29T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0992nITtG9@competitie.vttl.be","","","POVLH10/049\nHNO Assenede B / Egmont B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Egmont B",""
